TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-23,2026-01-23,CM,NSE,STK,10440,INE326A01037,LUPIN,EQ,,,,,LUPIN LIMITED,2167.0,2178.0,2130.3,2137.2,2138.0,2163.2,,2137.2,,,578417,1242489549.8,33573,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,11301,INE150G01020,LUXIND,EQ,,,,,LUX INDUSTRIES LIMITED,907.0,907.1,888.0,894.2,896.0,906.8,,894.2,,,37758,33831452.6,2598,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,2028,INE933A01014,LYKALABS,EQ,,,,,LYKA LABS LTD,75.05,76.4,73.0,73.12,73.0,75.05,,73.11,,,10929,814031.24,206,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,31468,INE142K01011,LYPSAGEMS,EQ,,,,,LYPSA GEMS & JEWEL LTD,5.1,5.1,4.88,4.91,4.94,4.94,,4.91,,,41058,203808.96,351,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,758150,INE08N601015,MBEL,EQ,,,,,M AND B ENGINEERING LTD,319.9,319.9,296.15,298.55,298.8,317.35,,298.75,,,204417,62193912.6,10041,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,16736,INE964W01021,MKPL,EQ,,,,,M K PROTEINS LIMITED,5.51,5.59,5.33,5.5,5.59,5.5,,5.5,,,199437,1100275.95,766,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,13285,INE774D01024,M&MFIN,EQ,,,,,M&M FIN. SERVICES LTD,362.2,368.75,357.45,360.65,360.8,360.45,,360.65,,,2249442,818728572.0,30556,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,22347,INE155Z01011,MACPOWER,EQ,,,,,MACPOWER CNC MACHINES LTD,870.2,870.3,823.2,835.6,848.8,859.5,,835.6,,,6723,5667753.3,1109,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,15151,INE925C01016,MADHAV,EQ,,,,,MADHAV MARBLE & GRANITE,35.65,36.9,35.31,36.7,36.7,35.61,,37.4,,,2320,84495.11,30,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,13671,INE378D01032,MADHUCON,EQ,,,,,MADHUCON PROJECTS LTD.,4.95,5.2,4.8,5.07,5.18,5.03,,5.07,,,30689,154360.51,228,F1,1,,,,,
